review_id,product,rating,review_text
1,Flowly,1,"The app crashes every single time I try to attach a screenshot to a task. Infuriating."
2,Flowly,5,"Onboarding was incredibly smooth -- had my whole team set up in under ten minutes."
3,Flowly,1,"Got charged twice this month and support still hasn't replied after five days."
4,Flowly,4,"Would really love a dark mode option. Everything else about the product is great."
5,Flowly,2,"Sync between the desktop and mobile app is broken half the time, tasks just disappear."
6,Flowly,5,"Support resolved my billing issue in under an hour over chat. Really impressed."
7,Flowly,2,"The pricing tiers make no sense -- we're paying for 'unlimited' but keep hitting a projects cap."
8,Flowly,2,"Dashboard takes forever to load once you have more than a few hundred tasks."
9,Flowly,3,"I wish there was a way to bulk-edit due dates across a whole project."
10,Flowly,1,"Cancelled my subscription and they still charged me the next month."
11,Flowly,5,"The setup wizard walked me through everything, didn't need to read a single doc."
12,Flowly,2,"Search inside a project is basically useless, half the results are irrelevant."
13,Flowly,1,"Been waiting three weeks for a reply about my refund request."
14,Flowly,3,"Works great for small teams, but performance really drops once you scale past 50 members."
15,Flowly,3,"Please add a native calendar view, the list view isn't enough for planning sprints."
16,Flowly,5,"The new update fixed the notification bug that's been driving me crazy for months."
17,Flowly,1,"Trial ended and it downgraded my whole team without any warning email."
18,Flowly,5,"Their support team actually knows the product, not just reading from a script."
19,Flowly,2,"Import from our old tool lost half our task history, had to redo everything manually."
20,Flowly,5,"Love how quickly they shipped the API we'd been asking for."
21,Flowly,1,"App froze completely during a client demo, extremely embarrassing."
22,Flowly,2,"Onboarding docs are outdated, half the screenshots don't match the current UI."
23,Flowly,2,"Billing email is confusing, can't tell what we're actually being charged for each seat."
24,Flowly,3,"Would be great to have Slack integration that actually posts to the right channel."
25,Flowly,5,"Everything loads instantly now compared to six months ago, great improvement."
26,Flowly,1,"Support ticket got auto-closed without anyone actually answering my question."
27,Flowly,2,"The recurring tasks feature keeps duplicating instead of just repeating."
28,Flowly,2,"New user invite flow is confusing, three of my teammates got stuck at the same step."
29,Flowly,4,"Their annual plan saved us a good chunk of money compared to paying monthly."
30,Flowly,2,"Every few days the whole board reshuffles the task order on its own."
31,Flowly,5,"Getting a human on chat support took under two minutes, way better than our old tool."
32,Flowly,3,"The reporting dashboard is beautiful but painfully slow to generate for big projects."
33,Flowly,3,"We need a way to set different permission levels per project, right now it's all or nothing."
34,Flowly,2,"Free trial signup asked for a credit card, felt sketchy for something calling itself free."
35,Flowly,5,"Genuinely one of the best onboarding experiences I've had with any SaaS tool."
36,Flowly,1,"Uploading anything over 10MB just times out with no error message."
37,Flowly,1,"Renewal price jumped 40% with zero notice, feels like a bait and switch."
38,Flowly,3,"The mobile app is noticeably behind the desktop version in features."
39,Flowly,4,"Would pay extra for a proper time-tracking feature built into tasks."
40,Flowly,5,"App has been rock solid for us for over a year now, barely any complaints."
